Steps,Learning,Baseline,,
1,14.827344,18.424194,,
2,15.720571,20.137834,,
3,14.865764,17.291943,,
4,15.381563,18.725232,,
5,16.686706,20.867067,,
6,19.296501,19.44094,,
7,17.665158,13.912126,,
8,14.334544,20.094825,,
9,14.131842,19.820392,,
10,14.595201,17.659313,,
11,14.946782,15.011215,,
12,17.647423,16.080674,,
13,19.634641,20.624089,,
14,19.048244,18.191472,,
15,21.064396,16.906476,,
16,15.612474,15.544148,,
17,13.869612,18.325528,,
18,15.318714,19.155011,,
19,18.23735,18.225086,,
20,15.217486,17.689882,,
21,14.019685,20.222889,,
22,11.527515,16.966736,,
23,15.827046,17.136824,,
24,18.936077,16.746024,,
25,14.727273,16.551183,,
26,14.490839,16.116809,,
27,16.878388,14.21171,,
28,12.906174,13.167741,,
29,15.023165,17.372228,,
30,15.231159,14.549907,,
31,14.676956,17.005769,,
32,18.242924,13.651746,,
33,14.429258,17.337211,,
34,17.546913,16.806185,,
35,13.502999,14.707876,,
36,11.672106,12.416985,,
37,14.834509,16.410524,,
38,15.677276,18.60096,,
39,13.107384,16.761227,,
40,12.868325,15.566052,,
41,16.71446,14.94686,,
42,14.4518,18.826187,,
43,15.086136,15.869366,,
44,16.51623,14.499895,,
45,14.87258,12.053514,,
46,14.767362,15.587792,,
47,14.665458,15.712143,,
48,14.055776,17.444632,,
49,16.429595,15.892245,,
,,,,
Average,15.54668743,16.84217688,,0.002656931
